Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
AKG - 22206EMC3 - SR BEARING,1,code128,AKG,001,-,-,-,10890,16750,0,No Tax,Exclusive,no_image.png,001-03,,,,,,,
ASHAI UK 206 - Y BEARING,2,code128,NONE,001,-,-,-,1750,3500,0,No Tax,Exclusive,no_image.png,001-05,,,,,,,
BB25/2K - BEARING,3,code128,TSUBAKI,001,-,-,-,12250,18375,0,No Tax,Exclusive,no_image.png,,,,,,,,
ER 204 - P B BEARING,4,code128,NONE,001,-,-,-,1100,1650,0,No Tax,Exclusive,no_image.png,,,,,,,,
FBJ H 2306 - SLEEVE,5,code128,FBJ,001,-,-,-,750,1500,0,No Tax,Exclusive,no_image.png,001-05,,,,,,,
HCI 6005/2RS - DGB BEARING,6,code128,NONE,001,-,-,-,360,455,0,No Tax,Exclusive,no_image.png,001-01,,,,,,,
INA HK15/16D - NR BEARING,7,code128,INA,001,-,-,-,400,1240,0,No Tax,Exclusive,no_image.png,001-02,,,,,,,
INA HK16/16D- NEEDLE ROLLER BEARING,8,code128,INA,001,-,-,-,220,1260,0,No Tax,Exclusive,no_image.png,001-02,,,,,,,
KOYO 2206 - SAB BEARING,9,code128,KOYO,001,-,-,-,4200,6090,0,No Tax,Exclusive,no_image.png,001-05,,,,,,,
KOYO 83A915/C4 - BEARING,10,code128,KOYO,001,-,-,-,1750,2450,0,No Tax,Exclusive,no_image.png,,,,,,,,
KOYO HK08/08 - N R BEARING,11,code128,KOYO,001,-,-,-,1200,1750,0,No Tax,Exclusive,no_image.png,001-02,,,,,,,
KSM 6004ZZ - DEEP GROVE BALL BEARING,12,code128,KSM,001,-,-,-,540,1020,0,No Tax,Exclusive,no_image.png,001-01,,,,,,,
KSM 6207ZZ - D G B BEARING,13,code128,KSM,001,-,-,-,1545,2225,0,No Tax,Exclusive,no_image.png,001-01,,,,,,,
KSM 6902ZZ - D G B BEARING,14,code128,KSM,001,-,-,-,450,1090,0,No Tax,Exclusive,no_image.png,001-01,,,,,,,
NAG 4907  - D G B BEARING,15,code128,NONE,001,-,-,-,5450,12325,0,No Tax,Exclusive,no_image.png,,,,,,,,
NBWZ 6005/2RS - DGB BEARING,16,code128,NBWZ,001,-,-,-,590,840,0,No Tax,Exclusive,no_image.png,001-01,,,,,,,
NBWZ 6204/2RS - D G B BEARING,17,code128,NBWZ,001,-,-,-,575,820,0,No Tax,Exclusive,no_image.png,001-01,,,,,,,
NBWZ 6300/2RS - D G B BEARING,18,code128,NBWZ,001,-,-,-,525,750,0,No Tax,Exclusive,no_image.png,001-01,,,,,,,
NBWZ 6301/2RS - D G B BEARING,19,code128,NBWZ,001,-,-,-,500,715,0,No Tax,Exclusive,no_image.png,001-01,,,,,,,
NIS 6004/2RS - DGB BEARING,20,code128,NIS,001,-,-,-,345,495,0,No Tax,Exclusive,no_image.png,001-01,,,,,,,
NIS HK08/08 - N R BEARING,21,code128,NIS,001,-,-,-,750,1180,0,No Tax,Exclusive,no_image.png,001-02,,,,,,,
NIS-UC206-Y BEARING,22,code128,NIS,001,-,-,-,1400,2100,0,No Tax,Exclusive,no_image.png,,,,,,,,
NSK 4206/C3 - DGB BEARING,23,code128,NSK,001,-,-,-,3150,4565,0,No Tax,Exclusive,no_image.png,001-01,,,,,,,
NSK 98205 - D G B BEARING,24,code128,NSK,001,-,-,-,1000,1450,0,No Tax,Exclusive,no_image.png,001-01,,,,,,,
NSK NJ2206W/C3 - BEARING,25,code128,NSK,001,-,-,-,4550,6600,0,No Tax,Exclusive,no_image.png,,,,,,,,
NTN UCF211-200 - PILLOW BLOCK BEARING,26,code128,NTN,001,-,-,-,11500,17250,0,No Tax,Exclusive,no_image.png,,,,,,,,
NTN 1208SK - SAB BEARING,27,code128,NTN,001,-,-,-,3500,6250,0,No Tax,Exclusive,no_image.png,001-05,,,,,,,
NTN 16002 - D G B BEARING,28,code128,NTN,001,-,-,-,510,875,0,No Tax,Exclusive,no_image.png,001-01,,,,,,,
NTN 16003 - D G B BEARING,29,code128,NTN,001,-,-,-,550,775,0,No Tax,Exclusive,no_image.png,001-01,,,,,,,
NTN 16007 - DGB BEARING,30,code128,NTN,001,-,-,-,1450,2530,20,No Tax,Exclusive,no_image.png,001-01,,,,,,,
NTN 2206S  - SAB BEARING,31,code128,NTN,001,-,-,-,2300,3450,0,No Tax,Exclusive,no_image.png,001-05,,,,,,,
NTN 2210S/C3 - SAB BEARING,32,code128,NTN,001,-,-,-,7000,10150,0,No Tax,Exclusive,no_image.png,001-05,,,,,,,
NTN 30208 - TR BEARING,33,code128,NTN,001,-,-,-,3060,4780,0,No Tax,Exclusive,no_image.png,001-06,,,,,,,
NTN 30210 - TR BEARING,34,code128,NTN,001,-,-,-,5200,6775,0,No Tax,Exclusive,no_image.png,001-06,,,,,,,
NTN 32015 - TR BEARING,35,code128,NTN,001,-,-,-,5275,7310,0,No Tax,Exclusive,no_image.png,001-06,,,,,,,
NTN 51200 - D G B BEARING,36,code128,NTN,001,-,-,-,1440,1700,0,No Tax,Exclusive,no_image.png,001-01,,,,,,,
NTN 60/22LLU - BALL BEARING,37,code128,NTN,001,-,-,-,1828,2538,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,
NTN 6000LLU - DGB BEARING,38,code128,NTN,001,-,-,-,616,970,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,
